계정,연도,상품번호,판매자코드,ROAS%,광고비,광고전환매출,클릭
rejoice666,2026,4206467610,W3AC914,2936,6886,202160,12
rejoice666,2026,4306170314,W8BD985,1650,4378,72240,10
rejoice666,2026,4306170689,W13B14A,2478,16808,416500,34
rejoice666,2026,4306173354,W9A6D63,495,5181,25630,11
rejoice666,2026,4348004428,WD1ED4C,3539,2233,79030,8
rejoice666,2026,4348004556,,814,4983,40570,12
rejoice666,2026,4348008913,,1056,3333,35200,8
rejoice666,2026,4361880921,W071710,8355,1903,159000,4
rejoice666,2026,4367071591,WB0490A,20944,341,71420,1
rejoice666,2026,4369073199,W11C62A,2684,2321,62300,5
rejoice666,2026,4369080119,WF2D8C9,2333,2013,46970,4
rejoice666,2026,4369080252,WFF45A7,541,12716,68740,22
rejoice666,2026,4369084582,W6D2620,14580,1199,174810,2
rejoice666,2026,4369152170,WFFSSRM,10551,2310,243720,6
rejoice666,2026,4405460391,W9C76F3,476,4367,20800,6
rejoice666,2026,4405492373,WE50EEC,1558,4136,64440,8
rejoice666,2026,4405492651,WFHLFLZ,1573,5786,91000,17
rejoice666,2026,4405492980,WC46781,863,3069,26480,6
rejoice666,2026,4405493344,WFFTKT6,5382,2409,129660,6
rejoice666,2026,4405493759,WACC476,554,3850,21310,7
rejoice666,2026,4405494159,WFHKPW9,16987,913,155090,3
rejoice666,2026,4405494293,,772,10439,80550,18
rejoice666,2026,4405495401,W66EE4B,2254,1364,30740,3
rejoice666,2026,4405495548,W8496CA,2356,1452,34210,3
rejoice666,2026,4405496263,WB3DBEC,947,4422,41880,9
rejoice666,2026,4463451602,WAA846E,1264,1199,15150,2
rejoice666,2026,4463452649,W1ACB26,933,9900,92340,10
rejoice666,2026,4463452799,WD74583,5931,781,46320,2
rejoice666,2026,4463453687,WA07044,600,2618,15700,7
rejoice666,2026,4463455095,WCFFF13,1184,2695,31920,9
rejoice666,2026,4463457283,,1266,2585,32720,5
rejoice666,2026,4463464705,WE161FA,825,25201,207960,34
rejoice666,2026,4489947688,WFG23LJ,1434,1408,20190,3
rejoice666,2026,4596182857,W6DC66B,4405,891,39250,2
rejoice666,2026,4596185871,WA053DB,6608,1529,101040,6
rejoice666,2026,4596188031,WCDB6E5,8284,1155,95680,3
rejoice666,2026,4596196400,WC39728,7071,1870,132220,4
rejoice666,2026,4599797466,WC561DD,3777,1749,66060,4
rejoice666,2026,4612398194,WC052BE,296,14212,42060,27
rejoice666,2026,4612399009,WFH0ZSV,336,6512,21880,14
rejoice666,2026,4637510404,WF49CEB,351,3575,12560,6
rejoice666,2026,4637510815,WADA3BB,4862,385,18720,1
rejoice666,2026,4637514230,WFG0607,271,9405,25500,23
rejoice666,2026,4637522981,WDAE74F,2593,2915,75600,5
rejoice666,2026,2786173930,W140C16,2089,2585,54010,5
rejoice666,2026,3064785733,WBF3F8A,20376,330,67240,1
rejoice666,2026,3348109332,WB87FEC,10519,385,40500,1
rejoice666,2026,3348122910,W0C5E9A,1287,2266,29170,4
rejoice666,2026,4060242645,W976A86,8244,1034,85240,2
rejoice666,2026,4060289191,W9C4F33,5998,836,50140,2
rejoice666,2026,4060347157,W9D98E7,4792,2233,107000,4
rejoice666,2026,4206459539,W3B2A59,2309,6435,148600,11
rejoice666,2026,4206459611,WCB9A11,4123,1705,70300,3
rejoice666,2026,4253223202,WF694BE,1755,1485,26060,4
rejoice666,2026,4365510186,WABDF36,35970,495,178050,1
rejoice666,2026,4365521067,W0620EB,2083,2629,54770,5
rejoice666,2026,4365527083,WC68797,30073,440,132320,1
rejoice666,2026,4369075561,WFGEJZP,1426,2519,35920,5
rejoice666,2026,4369075918,WF2B1CB,4883,1595,77880,3
rejoice666,2026,4405460192,WAB94A0,377,12551,47370,21
rejoice666,2026,4405495466,WA8CF7F,8547,1793,153250,4
rejoice666,2026,4463450951,W84A705,955,1540,14700,3
rejoice666,2026,4489948094,WCFC519,868,4345,37700,9
rejoice666,2026,4489948363,WFHL500,957,1705,16320,3
rejoice666,2026,4489948471,WFILTJ1,905,1815,16420,4
rejoice666,2026,4525972949,WD3A03D,1085,1639,17780,3
rejoice666,2026,4596199877,WD90F65,4359,1859,81040,3
rejoice666,2026,4612398871,WB848A5,2402,1716,41220,3
rejoice666,2026,4612398969,WDEDC18,4143,2761,114400,5
rejoice666,2026,4637503859,WFGQ0NM,683,1837,12550,4
rejoice666,2026,4637517580,WFHGAXK,277,4213,11660,8
rejoice666,2026,4637520152,WDB679A,973,1419,13800,3
rejoice666,2026,3465402293,W2BCBE3,16153,550,88840,1
rejoice666,2026,3690128881,WBF0A3E,1402,1925,26990,3
rejoice666,2026,3804172082,WCA85E2,2230,5555,123870,9
rejoice666,2026,3804211827,,4220,2376,100260,4
rejoice666,2026,3868200317,WABCE02,35768,99,35410,1
rejoice666,2026,4060185292,WB5D859,6226,2882,179440,5
rejoice666,2026,4060185590,WB5D854,1898,1760,33400,3
rejoice666,2026,4060199607,W56C8B9,14514,605,87810,1
rejoice666,2026,4060205259,W6FCE6B,6318,2508,158450,4
rejoice666,2026,4206465361,WB33811,6700,1100,73700,2
rejoice666,2026,4306168352,WA251E2,5711,979,55910,2
rejoice666,2026,4306171847,W265D0E,61838,616,380920,1
rejoice666,2026,4365553313,WBBBF32,7813,605,47270,1
rejoice666,2026,4369078367,WB165BF,2081,5577,116040,9
rejoice666,2026,4369081639,W9E4F25,39477,1760,694800,3
rejoice666,2026,4369152001,WFGJ1B6,2927,1210,35420,2
rejoice666,2026,4369152742,W9864A9,1040,3278,34090,6
rejoice666,2026,4369648244,WF32FA8,3369,550,18530,1
rejoice666,2026,4405495681,WDA2E40,833,3146,26220,5
rejoice666,2026,4463453318,WD317FB,972,1595,15510,3
rejoice666,2026,4463454766,W8F54F9,3688,429,15820,1
rejoice666,2026,4463464100,W5F03C1,7680,660,50690,1
rejoice666,2026,4489947892,W68E13E,1105,1980,21880,3
rejoice666,2026,4596187482,WA85D01,13952,660,92080,1
rejoice666,2026,4612397970,WFAAE72,1753,2486,43580,4
rejoice666,2026,4612398111,WAA2AD3,1130,1639,18520,8
rejoice666,2026,4612398219,WF6AB11,2566,1771,45440,3
rejoice666,2026,4613175565,WFFKBTS,2129,1320,28100,2
rejoice666,2026,4613175600,W864DE4,8909,561,49980,1
rejoice666,2026,4613175694,WFGF6F3,1330,3542,47120,6
rejoice666,2026,4613175875,W952A39,5127,660,33840,1
rejoice666,2026,4637505866,W2876D9,1225,1144,14010,2
rejoice666,2026,4637510357,W83846E,5461,1265,69080,2
rejoice666,2026,4637514024,WFHBZVS,7361,462,34010,2
rejoice666,2026,4637522438,WDD275E,1136,1518,17240,3
rejoice666,2026,4637522855,WF7C25F,795,3828,30420,7
rejoice666,2026,4637526820,WC3B267,2765,550,15210,1
rejoice666,2026,4637527165,WE108AF,1270,1958,24860,4
rejoice666,2026,2786191900,W8BF27C,3462,1265,43790,2
rejoice666,2026,3348113205,WC9AFB1,10149,550,55820,1
rejoice666,2026,3868280962,W9AAF0C,11433,550,62880,1
rejoice666,2026,4060197432,W31BC2E,4738,550,26060,1
rejoice666,2026,4060273336,W467FBB,4943,2464,121800,4
rejoice666,2026,4365554845,W4F69A5,7736,605,46800,1
rejoice666,2026,4369074221,W0B337C,4033,1980,79860,3
rejoice666,2026,4405461282,W05764B,4123,660,27210,1
rejoice666,2026,4405491983,WCBBFB4,4715,495,23340,1
rejoice666,2026,4463454193,WE0057C,1318,2387,31460,4
rejoice666,2026,4596184315,W9FC6DA,3018,1892,57110,3
rejoice666,2026,4596189349,W7CA101,4045,1144,46270,2
rejoice666,2026,4612397847,WE1CFFB,5657,869,49160,2
rejoice666,2026,4637504786,W7D4E99,2063,1221,25190,2
rejoice666,2026,4637504954,WFJBIJG,1494,814,12160,3
rejoice666,2026,4637506732,WA9D110,3222,594,19140,1
rejoice666,2026,4637510287,WEBEF47,1304,1067,13910,2
rejoice666,2026,4637526172,WFIUAKK,1773,924,16380,2
rejoice666,2026,4671151659,3923599,2231,2552,56930,9
rejoice666,2026,2786169471,W8D036B,94277,220,207410,1
rejoice666,2026,4637505146,WFJBIK2,28303,99,28020,1
rejoice666,2026,4713931501,WE1128C,2594,308,7990,1
rejoice666,2026,4713937852,WFIGZSL,6270,1232,77250,4
rejoice666,2026,4596181340,W561C1D,17739,330,58540,1
rejoice222,2025,2936320458,W9746DE,1318,3300,43510,8
