상품번호,계정,판매자코드,상품명,광고비,광고전환ROAS%,실매출,실ROAS%,클릭
4245234281,rejoice987,WB93CD8,화장실세정제 화청 1리터 12개입 소변기탈취제,880,21688.6,264071,30008.1,1
3471264392,rejoice567,W9352D7,발골칼 뼈칼 정육칼 육류칼 가공 칼 중간날 15cm,0,0,256512,0,0
4376751727,dlwoddbs55,LCE_MX_L3184206,(WIZ0008) 위즈독서대 미니멈독서대 30M1 ,1474,20059.7,255244,17316.4,1
4612445064,rejoice987,WB165BF,웰우드 마리 벽걸이 전신거울 400 x 1500,319,0.0,248492,77897.2,1
4612397877,rejoice666,WCB46BC,남성 긴팔 와플 피케 카라 티셔츠 기능성 골프상의,99,0.0,248376,250884.8,1
4376351107,rejoice444,W8B9037,러블리 진주 공주 리본 어린이 미니 토트백 핸드백,704,0.0,247106,35100.3,2
4445314975,dlwodb000,WFJARVJ,미카포트 MF94854 엔지니어링 전동 기차 세트/,968,0.0,244780,25287.2,2
4334372324,rejoice794,LCE_SX_L1591036_00,닥터그린 뿌리는 손세정제 500ml 에탄올70 20,0,0,243921,0,0
4438180802,dlwodbs444,LCE_SX_L1591036_00,닥터그린 뿌리는 손세정제 500ml 에탄올70 20,0,0,243921,0,0
3841618002,rejoice567,WC6D836,와이파이 디지털액자 핸드폰영상 무선전송 터치스크린 ,880,29777.3,241856,27483.6,2
4376360832,dlwodb888,WB9E43C,자동혈압계 연성 커프 중형 메디텍 커프 타사 호환,1276,0.0,240764,18868.7,7
3695665121,rejoice678,W864DE4,락스 2리터 6통 유연락스 손잡이 막락스 업소 청소,2101,3584.0,239960,11421.2,2
4365518760,rejoice666,W864DE4,락스 2리터 6통 유연락스 손잡이 막락스 업소 청소,0,0,239960,0,0
4376353827,rejoice444,W864DE4,락스 2리터 6통 유연락스 손잡이 막락스 업소 청소,0,0,239960,0,0
4613175600,rejoice666,W864DE4,락스 2리터 6통 유연락스 손잡이 막락스 업소 청소,561,8909.1,239960,42773.6,1
4620543505,rejoice222,W864DE4,락스 2리터 6통 유연락스 손잡이 막락스 업소 청소,561,0.0,239960,42773.6,1
4612444506,rejoice987,WF2CBB5,마미손 명진 라텍스 니트릴 장갑 100매 소 중 대,1100,10400.0,236840,21530.9,2
4620560155,rejoice222,WF2CBB5,마미손 명진 라텍스 니트릴 장갑 100매 소 중 대,605,24760.3,236840,39147.1,1
4171742752,rejoice234,LCE_SX_L4666459_00,한얼 청소카트 이동식 커버형 쓰레기 수거용 업소용/,638,0.0,234746,36794.0,1
4060037833,tmxkqlwus,WC5A108,키친아트23HL 코코 전기오븐 23L 대용량 그릴오,869,0.0,233550,26875.7,2
4365541651,rejoice666,WC5A108,23HL 전기오븐 23L 대용량 그릴오븐기 오븐 전,1771,0.0,233550,13187.5,4
4612445614,rejoice987,WC5A108,키친아트23HL 코코 전기오븐 23L 대용량 그릴오,946,0.0,233550,24688.2,3
4620544337,dlwodb888,WC5A108,키친아트23HL 코코 전기오븐 23L 대용량 그릴오,1980,6624.7,233550,11795.5,4
4171655107,rejoice234,LCE_MX_L6633506_00,크리넥스 냅킨 스탠다드 250매/미용/티슈/곽티슈/,2266,11199.0,232611,10265.3,3
4376287760,dlwoddbs55,LCE_SX_L1374255_06,(A타입-15.6인치 | 블랙) 라이트 노트북 가방,2695,0.0,231653,8595.7,5
4144921891,rejoice987,WB2F172,피죤 무균무때 안티박 500ml 12개(1box),1265,20452.2,228390,18054.5,2
3055509345,rejoice222,W4BEBDB,유리 드립 서버 800ml 커피 핸드 전자레인지용 ,0,0,221741,0,0
3841588452,rejoice567,W4BEBDB,유리 드립서버 800ml 커피서버 핸드드립 전자용 ,374,0.0,221741,59289.0,1
4105187940,rejoice444,W4BEBDB,유리 드립서버 800ml 커피서버 핸드드립 전자레인,561,0.0,221741,39526.0,1
4164281117,rejoice999,W4BEBDB,유리 드립서버 800ml 커피서버 핸드드립 전자레인,1221,0.0,221741,18160.6,2
4256904850,dlwodbs666,W4BEBDB,유리 드립서버 800ml 커피서버 핸드드립 전자레인,1111,3565.3,221741,19958.7,2
4357145435,dlwodb888,W4BEBDB,유리 드립서버 800ml 커피서버 핸드드립 전자레인,1716,4764.6,221741,12922.0,3
4626137641,rejoice222,W4BEBDB,유리 드립서버 800ml 커피서버 핸드드립 전자레인,473,14194.5,221741,46879.7,2
4059839491,tmxkqlwus,W007E8E,국내산 제조 초극세사 마포걸레리필 10개 색상랜덤,407,61621.6,221296,54372.5,1
3869056363,dlwodbs666,W24194C,3D폼브릭 10M 단열재 결로방지 벽돌 보온 폼블럭,638,0.0,219604,34420.7,1
4193685199,rejoice794,LCE_SX_L5016715_00,벡스-전기접점부활제 BW100 450g (1EA)/,1320,19090.9,219420,16622.7,2
4060027156,tmxkqlwus,W593AB8,태양광 조명등 야외 태양열 축전지 정원 조명 정원등,0,0,218920,0,0
4369157504,rejoice987,WAB82D3,캐릭터 토끼 인형 실바니안 고양이가족 작은 귀여운 ,0,0,218083,0,0
4369727117,tmxkqlwus,WAB82D3,캐릭터 토끼 인형 실바니안 고양이가족,1331,0.0,218083,16384.9,3
4369763114,dlwodb111,WAB82D3,캐릭터 토끼 인형 실바니안 고양이가족,539,0.0,218083,40460.7,1
4376376015,dlwodb888,WAB82D3,캐릭터 토끼 인형 실바니안 고양이가족,1144,14111.9,218083,19063.2,2
4620556985,rejoice222,WE63DAC,크린랩 물걸레 청소포 대형 30매,1980,12424.2,217520,10985.9,3
4422664259,rejoice794,LCE_SX_L0824785_00,유리화분 화병 수반 N1608 (어항) 16x8cm,825,0.0,215295,26096.4,3
4165061069,rejoice999,WB6E311,일신 IS-7410 카브레타 크리너 일반용 20,1045,0.0,213299,20411.4,2
4357154349,dlwodb888,WB6E311,일신 IS-7410 카브레타 크리너 일반용 20EA,506,0.0,213299,42154.0,1
4365534071,rejoice987,WB6E311,일신 IS-7410 카브레타 일반용 20EA 캬브레,0,0,213299,0,0
4376364480,dlwodb888,WB6E311,일신 IS-7410 카브레타 크리너 일반용 20EA,429,18552.4,213299,49720.0,1
4620560430,rejoice222,WB6E311,일신 IS-7410 카브레타 크리너 일반용 20EA,990,8405.1,213299,21545.4,2
3066444655,rejoice999,WADA8A7,Jat5 쌍열 키보드 스탠드 건반 신디 거치대 악기,1122,0.0,213246,19005.9,2
3108094086,rejoice444,WADA8A7,Jat5 쌍열 키보드 스탠드 건반 신디 거치대 건텐,550,14258.2,213246,38772.0,1
4060366376,rejoice666,WADA8A7,Jat5 쌍열키보드스탠드 건반 쌍열스탠드 신디거치대,770,0.0,213246,27694.3,2
4060593388,rejoice678,WADA8A7,Jat5 쌍열키보드스탠드 건반 쌍열스탠드 신디거치대,0,0,213246,0,0
4357153426,dlwodb888,WADA8A7,Jat5 쌍열키보드스탠드 건반 쌍열스탠드 신디거치대,110,0.0,213246,193860.0,1
4376371847,dlwodb888,WADA8A7,Jat5 쌍열키보드스탠드 건반 쌍열스탠드 신디거치대,1100,0.0,213246,19386.0,2
4626133253,rejoice222,WADA8A7,Jat5 쌍열키보드스탠드 건반 쌍열스탠드 신디거치대,1760,0.0,213246,12116.2,3
3869094163,dlwodbs666,WBCA08A,휘트 식염포도당 캡슐형 500정 탈수방지 보충제 식,638,0.0,212418,33294.4,1
4365532309,rejoice567,WBCA08A,휘트 식염포도당 캡슐형(500정) 탈수방지 보충제 ,858,0.0,212418,24757.3,1
4626131859,rejoice222,WBCA08A,휘트니스 식염포도당 캡슐형(500정) 탈수방지 보충,660,0.0,212418,32184.5,1
4477408029,dlwodb000,WEFEB3E,리케 폴리 빙수기 가정용 수동 팥빙수기계,495,0.0,210850,42596.0,1
4369152170,rejoice666,WFFSSRM,RZ1523 조노돔 연결봉 75개 도형 창의력 교구,2310,10550.6,207836,8997.2,6
4284471132,tmxkql222,LCE_SX_L0189511_04,(포레스티아 12T 특대) 놀이방매트 거실바닥놀이 ,0,0,207394,0,0
